id,name,link,image
1,Leon's Burgers & Wings,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,
2,Burger King,https://www.zomato.com/bangalore/burger-king-commercial-street/order,
3,Kannur Food Point,https://www.zomato.com/bangalore/kannur-food-point-btm/order,
4,Behrouz Biryani,https://www.zomato.com/bangalore/behrouz-biryani-shanti-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/3/18343993/a8c84349c1138e70cf3870a850f5e29d_o2_featured_v2.jpg?output-format=webp
5,Pizza Hut,https://www.zomato.com/bangalore/pizza-hut-shanti-nagar/order,https://b.zmtcdn.com/data/pictures/chains/8/51418/e81f66522df2f3dbc3c9d0aa3ce0756d_o2_featured_v2.jpg?output-format=webp
6,Donne Biryani Adda,https://www.zomato.com/bangalore/donne-biryani-adda-indiranagar-bangalore/order,https://b.zmtcdn.com/data/pictures/1/19684181/14dddc8d4d8c5d55bd6ab839752e787f_o2_featured_v2.jpg?output-format=webp
7,Polar Bear,https://www.zomato.com/bangalore/polar-bear-1-basavanagudi/order,https://b.zmtcdn.com/data/pictures/chains/2/50812/21c544e626cbf40a91c8b236014b2682_o2_featured_v2.jpg?output-format=webp
8,Sreeraj Lassi Bar - Since 1973,https://www.zomato.com/bangalore/sreeraj-lassi-bar-since-1973-shivajinagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/2/53762/10fbea584a3f287b5999dabf63ceeb03_o2_featured_v2.jpg?output-format=webp
9,RNR Biryani - Taste Of 1953,https://www.zomato.com/bangalore/rnr-biryani-taste-of-1953-1-jayanagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/7/20246497/2b6f80091e6478fad73c73f5dca84270_o2_featured_v2.jpg?output-format=webp
10,Onesta,https://www.zomato.com/bangalore/onesta-indiranagar-bangalore/order,
11,Roti-Wala.Com,https://www.zomato.com/bangalore/roti-wala-com-btm-bangalore/order,
12,Mani's Dum Biryani,https://www.zomato.com/manis/order,
13,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/1/50471/6fa39637442e85efb64a5c0db7b31b7f_o2_featured_v2.jpg
